File,Function,Is it a test?,What does it do?,Notes,
lib/locking-selftest.c,locking_selftest,yes(machinery),,DO_TESTCASE_*,
kernel/locking/test-ww_mutex.c,test_abba,yes,,,
drivers/gpu/drm/i915/selftests/i915_selftest.c,i915_mock_selftests,yes(machinery),,,
drivers/gpu/drm/i915/selftests/i915_request.c,mock_breadcrumbs_smoketest,yes,,"PTR_ERR, IS_ERR",
lib/test-string_helpers.c,test_string_escape,yes,,,
drivers/gpu/drm/selftests/test-drm_cmdline_parser.c,drm_cmdline_test_force_D_only_dvi,yes,,FAIL_ON,
lib/list-test.c,list_test_list_for_each_entry_reverse,yes,,"KUNIT_CASE, KUNIT_EXPECT_*",
samples/connector/cn_test.c,cn_test_fini,yes(machinery),,,
tools/testing/selftests/breakpoints/breakpoint_test.c,launch_tests,yes,,,
kernel/trace/trace_selftest.c,trace_selftest_startup_irqsoff,yes,,,
tools/testing/selftests/wireguard/qemu/init.c,launch_tests,yes,,,
arch/powerpc/lib/test_emulate_step.c,test_ld,yes,,,
crypto/testmgr.c,alg_test_hash,yes,,,
tools/perf/tests/parse-events.c,test__checkevent_precise_max_modifier,yes,,TEST_ASSERT_VAL,
tools/testing/selftests/powerpc/tm/tm-tmspr.c,test_tmspr,yes,,test_harness,
crypto/testmgr.c,test_hash_vec,yes,,,
tools/testing/selftests/bpf/prog_tests/sk_lookup.c,tcp_echo_test,yes,,,
security/apparmor/policy_unpack_test.c,policy_unpack_test_unpack_u32_out_of_bounds,yes,,"KUNIT_CASE, KUNIT_EXPECT_*",
tools/testing/selftests/bpf/test_stub.c,bpf_prog_test_load,unsure,,,
tools/testing/selftests/clone3/clone3_set_tid.c,test_clone3_set_tid,yes,,ksft_print_msg,
tools/testing/selftests/powerpc/mm/hugetlb_vs_thp_test.c,test_body,yes,,test_harness,
drivers/misc/pci_endpoint_test.c,pci_endpoint_test_free_irq_vectors,yes,,,
drivers/mtd/tests/mtd_test.c,mtdtest_read,yes,,,
kernel/kcsan/kcsan-test.c,test_assert_exclusive_bits_change,yes,,"KCSAN_KUNIT_CASE, KUNIT_EXPECT_*",
tools/testing/selftests/bpf/prog_tests/modify_return.c,run_test,yes,,CHECK,
kernel/backtracetest.c,backtrace_test_saved,yes,,multiple definitions in ifdef,
tools/perf/tests/python-use.c,test__python_use,yes,,include “test.h”,
drivers/net/ethernet/stmicro/stmmac/stmmac_selftests.c,stmmac_test_l4filt_da_udp,yes,,,
kernel/kcsan/kcsan-test.c,test_assert_exclusive_access_scoped,yes,,"KCSAN_KUNIT_CASE, KUNIT_EXPECT_*",
tools/testing/selftests/bpf/prog_tests/flow_dissector_reattach.c,test_link_update_invalid_prog,yes,,CHECK_FAIL,
tools/testing/selftests/net/psock_tpacket.c,test_payload,yes,,,
lib/test-string_helpers.c,test_string_get_size_check,yes,,pr_warn,
kernel/test_kprobes.c,test_kprobe,yes,,pr_err,
crypto/testmgr.c,generate_random_testvec_config,yes(machinery),,,
lib/test_linear_ranges.c,range_test_get_value_amount,yes,,"KUNIT_CASE, KUNIT_EXPECT_*",
tools/testing/selftests/bpf/test_progs.c,test__fail,yes(machinery),,,
drivers/of/unittest.c,unittest_i2c_mux_select_chan,unsure,,,"might be test machinery, merely returns zero"
tools/testing/selftests/bpf/prog_tests/btf.c,test_get_finfo,yes,,CHECK,
net/bpf/test_run.c,bpf_fentry_test8,yes,,,
drivers/mmc/core/mmc_test.c,mmc_test_weird_read,yes,,,
